CustomerID,Gender,Age,Annual Income (BDT),Spending Score (1-100)
1,Female,47,1433469,40
2,Male,41,473216,42
3,Male,52,1353114,30
4,Male,28,1158145,95
5,Female,35,686393,80
6,Male,63,851035,14
7,Female,39,298506,48
8,Male,58,1431572,38
9,Female,27,1332071,86
10,Female,32,841762,68
11,Male,57,1410852,35
12,Female,23,1163857,71
13,Male,60,1008392,18
14,Female,33,459951,51
15,Female,25,619326,93
16,Female,65,921777,28
17,Male,58,768996,18
18,Male,20,1198385,83
19,Female,27,696946,64
20,Female,33,656700,73
21,Female,21,1162899,79
22,Male,25,1314044,90
23,Female,58,744092,23
24,Male,42,1397142,25
25,Female,37,393896,55
26,Female,30,732792,69
27,Male,30,525919,74
28,Male,40,498764,57
29,Male,28,1194146,100
30,Male,42,493699,52
31,Female,65,785153,23
32,Male,39,484469,36
33,Female,60,780843,19
34,Male,29,810350,61
35,Female,25,1281370,97
36,Male,60,893027,17
37,Female,54,1500000,36
38,Female,22,1208188,82
39,Female,29,1381020,91
40,Female,43,556725,58
41,Male,27,1093126,84
42,Male,22,1118860,75
43,Female,31,1146079,90
44,Male,61,891900,21
45,Female,36,449760,58
46,Male,44,570651,40
47,Female,29,852816,62
48,Female,21,1441574,82
49,Female,33,479087,73
50,Female,45,444853,51
51,Female,60,866749,33
52,Female,44,1480497,46
53,Female,28,1189236,91
54,Female,26,729658,60
55,Male,22,1097376,89
56,Male,34,714587,65
57,Female,33,524138,28
58,Female,61,920080,22
59,Male,30,682553,82
60,Female,53,899473,14
61,Female,56,1006428,29
62,Male,59,1084470,33
63,Male,64,861567,36
64,Male,31,1254065,100
65,Female,25,1331760,88
66,Male,46,548239,48
67,Female,51,651833,30
68,Male,47,468216,33
69,Male,43,734031,54
70,Male,26,1347268,81
71,Female,51,561865,53
72,Female,29,627596,75
73,Female,32,742596,77
74,Male,51,1500000,33
75,Female,25,1129677,84
76,Female,52,757716,15
77,Male,45,1323443,24
78,Male,34,711469,68
79,Male,53,1309273,45
80,Male,32,471196,59
81,Male,46,1500000,22
82,Female,50,1395654,36
83,Female,59,827443,23
84,Male,46,1418527,36
85,Female,46,1491992,36
86,Female,27,1290850,91
87,Female,30,893801,69
88,Male,50,569582,47
89,Female,34,813680,82
90,Male,28,836902,65
91,Female,27,1104909,87
92,Male,38,404418,42
93,Male,32,936664,64
94,Male,43,438932,39
95,Female,36,566668,50
96,Female,30,1146417,88
97,Male,27,680355,65
98,Female,49,1361261,24
99,Male,25,1271955,96
100,Female,45,437183,51
101,Male,49,1429152,44
102,Female,22,1167991,73
103,Female,50,872616,24
104,Male,37,688988,44
105,Female,43,573235,49
106,Female,63,941626,17
107,Male,39,1221384,27
108,Female,24,1398385,74
109,Female,26,1274068,90
110,Female,39,534376,44
111,Female,33,963379,73
112,Female,23,1262249,88
113,Male,34,614632,71
114,Male,50,1483549,29
115,Male,27,1230382,98
116,Female,51,1500000,50
117,Female,28,1293374,87
118,Female,29,1218619,85
119,Female,43,430977,54
120,Male,54,1094628,47
121,Female,31,763395,85
122,Male,34,549095,45
123,Male,58,857612,23
124,Male,45,490914,55
125,Female,40,610696,38
126,Female,56,1376247,26
127,Female,41,1448781,40
128,Male,58,733832,32
129,Male,55,938043,20
130,Female,49,897285,12
131,Male,40,1500000,32
132,Female,47,525294,43
133,Female,47,1323562,35
134,Female,49,638877,56
135,Male,58,761748,18
136,Female,30,1077339,76
137,Male,22,1205882,77
138,Female,45,484296,52
139,Female,60,967605,24
140,Male,51,1280077,32
141,Male,34,794131,69
142,Female,41,482397,44
143,Female,53,1395305,29
144,Male,29,873498,79
145,Male,53,1188384,39
146,Female,26,1141631,88
147,Female,48,1482570,26
148,Male,47,1500000,37
149,Male,52,1238332,42
150,Female,29,1219207,91
151,Male,53,1298903,32
152,Male,33,730208,81
153,Female,58,1044303,26
154,Female,46,1331770,30
155,Female,26,1203261,81
156,Female,49,1500000,22
157,Male,26,1265896,92
158,Male,35,780053,75
159,Female,43,503314,34
160,Female,31,672791,62
161,Female,42,461747,61
162,Male,50,1282856,32
163,Male,24,1247165,82
164,Male,24,1322417,97
165,Female,49,562964,42
166,Female,35,632794,40
167,Female,30,1408889,81
168,Female,36,792436,74
169,Male,55,1489812,34
170,Male,25,1397187,87
171,Male,36,751010,78
172,Female,25,845383,86
173,Female,39,404825,43
174,Female,60,1010862,18
175,Male,32,680192,69
176,Female,37,208187,48
177,Female,49,1456444,37
178,Female,33,505871,53
179,Female,25,1310417,73
180,Female,46,463479,51
181,Male,27,1014133,77
182,Male,36,739990,84
183,Male,47,1485566,41
184,Male,26,681934,81
185,Female,27,1236267,85
186,Male,26,1215052,81
187,Male,27,1263346,97
188,Female,52,1373608,22
189,Male,44,813131,45
190,Female,47,731671,43
191,Male,62,1163599,25
192,Male,57,877724,29
193,Female,58,1397893,34
194,Male,35,1454994,90
195,Female,60,834318,25
196,Female,27,889893,61
197,Female,25,1202011,76
198,Female,33,863926,71
199,Female,63,751841,25
200,Female,30,1150170,90
201,Female,40,483408,46
202,Female,41,1396950,40
203,Female,30,1172538,88
204,Male,33,813881,67
205,Female,57,1500000,40
206,Female,41,623889,45
207,Female,49,1314893,36
208,Female,43,1404172,28
209,Male,21,1240798,84
210,Male,57,1380866,40
211,Female,42,1281829,32
212,Male,40,437714,58
213,Male,41,397988,56
214,Male,48,1236564,36
215,Male,56,909084,20
216,Female,25,1293735,83
217,Female,25,1210517,86
218,Male,26,1415663,83
219,Male,44,1287208,36
220,Female,49,1500000,36
221,Female,41,584020,59
222,Male,43,531481,50
223,Male,58,800853,27
224,Female,37,725716,75
225,Male,41,423587,56
226,Female,23,1332368,94
227,Female,21,1292889,82
228,Female,53,1500000,22
229,Female,58,931121,19
230,Male,23,1265873,76
231,Female,31,641453,65
232,Female,47,1265132,21
233,Male,33,847042,92
234,Male,22,1349863,90
235,Male,57,968150,22
236,Female,57,775040,20
237,Male,21,1227137,85
238,Male,46,502480,42
239,Male,32,688394,64
240,Male,57,961129,23
241,Female,34,746783,87
242,Male,50,830078,26
243,Male,43,1324167,27
244,Male,44,1424960,35
245,Male,30,1072508,82
246,Female,26,1208517,90
247,Male,50,530233,53
248,Male,24,1318066,82
249,Female,58,858958,23
250,Female,27,638468,78
251,Female,54,841859,14
252,Female,27,498944,45
253,Male,28,1038728,83
254,Male,59,1038569,13
255,Female,27,755716,70
256,Female,36,766597,56
257,Female,49,1480184,38
258,Female,24,779679,74
259,Female,51,1405718,50
260,Female,41,1426288,34
261,Female,39,559656,46
262,Male,39,541893,50
263,Female,29,1196612,90
264,Male,62,964136,14
265,Male,24,1218767,89
266,Male,50,1480797,26
267,Male,39,658221,58
268,Male,30,771105,81
269,Female,32,852922,75
270,Female,30,1332027,79
271,Male,53,1500000,44
272,Male,60,826731,24
273,Female,47,1321754,32
274,Female,21,1235741,81
275,Male,56,695928,24
276,Male,54,694573,9
277,Female,36,774657,73
278,Female,59,985579,31
279,Male,59,895787,30
280,Female,29,1495860,87
281,Male,44,602165,51
282,Male,59,1035430,28
283,Female,18,1209705,80
284,Male,54,819069,18
285,Female,61,959539,30
286,Female,44,1487613,39
287,Female,24,1018612,83
288,Female,34,640313,88
289,Female,27,1489527,84
290,Female,26,1251891,83
291,Female,34,622524,71
292,Male,31,681389,66
293,Male,34,414455,29
294,Female,45,432151,25
295,Male,46,1396708,45
296,Female,31,903448,82
297,Female,55,863343,23
298,Female,28,688011,74
299,Male,29,834496,70
300,Female,26,1233702,83
301,Male,28,1319054,93
302,Male,40,525041,42
303,Male,30,1215415,83
304,Female,32,530994,49
305,Male,35,782564,91
306,Male,62,906504,18
307,Female,41,409272,36
308,Male,43,503751,63
309,Female,47,387705,45
310,Male,21,1342552,80
311,Female,25,1056355,84
312,Female,40,485912,47
313,Female,54,781190,26
314,Female,54,1264621,32
315,Male,44,583236,49
316,Female,51,1500000,27
317,Female,30,1270724,92
318,Female,33,596686,67
319,Female,47,1458010,25
320,Male,43,577708,54
321,Female,40,491379,47
322,Female,57,945298,27
323,Female,45,1384970,31
324,Female,41,1491366,24
