CustomerID,Gender,Age,Annual Income (BDT),Spending Score (1-100),KMeans_Cluster,Hierarchical_Cluster,DBSCAN_Cluster,GMM_Cluster
1,Female,47,1433469,40,2,1,0,2
2,Male,41,473216,42,1,0,0,1
3,Male,52,1353114,30,2,1,0,2
4,Male,28,1158145,95,0,2,0,0
5,Female,35,686393,80,4,4,0,4
6,Male,63,851035,14,3,3,0,3
7,Female,39,298506,48,1,0,0,1
8,Male,58,1431572,38,2,1,0,2
9,Female,27,1332071,86,0,2,0,0
10,Female,32,841762,68,4,4,0,4
11,Male,57,1410852,35,2,1,0,2
12,Female,23,1163857,71,0,2,0,0
13,Male,60,1008392,18,3,3,0,3
14,Female,33,459951,51,1,0,0,1
15,Female,25,619326,93,4,4,0,4
16,Female,65,921777,28,3,3,0,3
17,Male,58,768996,18,3,3,0,3
18,Male,20,1198385,83,0,2,0,0
19,Female,27,696946,64,4,4,0,4
20,Female,33,656700,73,4,4,0,4
21,Female,21,1162899,79,0,2,0,0
22,Male,25,1314044,90,0,2,0,0
23,Female,58,744092,23,3,3,0,3
24,Male,42,1397142,25,2,1,0,2
25,Female,37,393896,55,1,0,0,1
26,Female,30,732792,69,4,4,0,4
27,Male,30,525919,74,4,4,0,4
28,Male,40,498764,57,1,0,0,1
29,Male,28,1194146,100,0,2,0,0
30,Male,42,493699,52,1,0,0,1
31,Female,65,785153,23,3,3,0,3
32,Male,39,484469,36,1,0,0,1
33,Female,60,780843,19,3,3,0,3
34,Male,29,810350,61,4,4,0,4
35,Female,25,1281370,97,0,2,0,0
36,Male,60,893027,17,3,3,0,3
37,Female,54,1500000,36,2,1,0,2
38,Female,22,1208188,82,0,2,0,0
39,Female,29,1381020,91,0,2,0,0
40,Female,43,556725,58,1,0,0,1
41,Male,27,1093126,84,0,2,0,0
42,Male,22,1118860,75,0,2,0,0
43,Female,31,1146079,90,0,2,0,0
44,Male,61,891900,21,3,3,0,3
45,Female,36,449760,58,1,0,0,1
46,Male,44,570651,40,1,0,0,1
47,Female,29,852816,62,4,4,0,4
48,Female,21,1441574,82,0,2,0,0
49,Female,33,479087,73,4,4,0,4
50,Female,45,444853,51,1,0,0,1
51,Female,60,866749,33,3,3,0,3
52,Female,44,1480497,46,2,1,0,2
53,Female,28,1189236,91,0,2,0,0
54,Female,26,729658,60,4,4,0,4
55,Male,22,1097376,89,0,2,0,0
56,Male,34,714587,65,4,4,0,4
57,Female,33,524138,28,1,0,0,1
58,Female,61,920080,22,3,3,0,3
59,Male,30,682553,82,4,4,0,4
60,Female,53,899473,14,3,3,0,3
61,Female,56,1006428,29,3,3,0,3
62,Male,59,1084470,33,3,3,0,3
63,Male,64,861567,36,3,3,0,3
64,Male,31,1254065,100,0,2,0,0
65,Female,25,1331760,88,0,2,0,0
66,Male,46,548239,48,1,0,0,1
67,Female,51,651833,30,3,3,0,3
68,Male,47,468216,33,1,0,0,1
69,Male,43,734031,54,1,0,0,1
70,Male,26,1347268,81,0,2,0,0
71,Female,51,561865,53,1,0,0,1
72,Female,29,627596,75,4,4,0,4
73,Female,32,742596,77,4,4,0,4
74,Male,51,1500000,33,2,1,0,2
75,Female,25,1129677,84,0,2,0,0
76,Female,52,757716,15,3,3,0,3
77,Male,45,1323443,24,2,1,0,2
78,Male,34,711469,68,4,4,0,4
79,Male,53,1309273,45,2,1,0,2
80,Male,32,471196,59,1,4,0,1
81,Male,46,1500000,22,2,1,0,2
82,Female,50,1395654,36,2,1,0,2
83,Female,59,827443,23,3,3,0,3
84,Male,46,1418527,36,2,1,0,2
85,Female,46,1491992,36,2,1,0,2
86,Female,27,1290850,91,0,2,0,0
87,Female,30,893801,69,4,4,0,4
88,Male,50,569582,47,1,0,0,1
89,Female,34,813680,82,4,4,0,4
90,Male,28,836902,65,4,4,0,4
91,Female,27,1104909,87,0,2,0,0
92,Male,38,404418,42,1,0,0,1
93,Male,32,936664,64,4,4,0,4
94,Male,43,438932,39,1,0,0,1
95,Female,36,566668,50,1,0,0,1
96,Female,30,1146417,88,0,2,0,0
97,Male,27,680355,65,4,4,0,4
98,Female,49,1361261,24,2,1,0,2
99,Male,25,1271955,96,0,2,0,0
100,Female,45,437183,51,1,0,0,1
